date,temperature_2m,relative_humidity_2m,precipitation,rain,cloud_cover,wind_speed_10m,weather_code,pressure_msl,is_day,vapour_pressure_deficit,shortwave_radiation,apparent_temperature,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,weather_condition
2025-01-01 00:00:00+00:00,25.85,27.896322,0.0,0.0,0.0,11.734564,0.0,1012.6,1.0,2.4030938,54.0,23.113243,0.15202285,29.9,0.133,Sunny
2025-01-01 01:00:00+00:00,24.1,26.748075,0.0,0.0,0.0,14.019216,0.0,1013.0,0.0,2.1999912,0.0,20.591618,0.15519373,28.7,0.13,Sunny
2025-01-01 02:00:00+00:00,22.5,25.476387,0.0,0.0,0.0,13.929953,0.0,1013.7,0.0,2.0324721,0.0,18.628262,0.15055986,27.1,0.13,Sunny
2025-01-01 03:00:00+00:00,21.1,25.9216,0.0,0.0,0.0,13.0806875,0.0,1014.1,0.0,1.8550322,0.0,17.193653,0.13599388,25.7,0.13,Sunny
2025-01-01 04:00:00+00:00,20.05,27.258875,0.0,0.0,0.0,13.433838,0.0,1013.9,0.0,1.7075365,0.0,16.060156,0.13214752,24.4,0.13,Sunny
2025-01-01 05:00:00+00:00,18.9,30.026548,0.0,0.0,0.0,13.581354,0.0,1013.8,0.0,1.5293787,0.0,14.945564,0.12314927,23.3,0.13,Sunny
2025-01-01 06:00:00+00:00,17.5,34.227276,0.0,0.0,0.0,13.379461,0.0,1013.6,0.0,1.3167498,0.0,13.675438,0.10816062,22.25,0.13,Sunny
2025-01-01 07:00:00+00:00,16.2,39.352715,0.0,0.0,0.0,12.881008,0.0,1013.6,0.0,1.1181324,0.0,12.587988,0.090995945,21.25,0.13,Sunny
2025-01-01 08:00:00+00:00,15.0,45.615837,0.0,0.0,0.0,12.638512,0.0,1013.8,0.0,0.9285496,0.0,11.60828,0.07517333,20.3,0.129,Sunny
2025-01-01 09:00:00+00:00,13.9,52.3577,0.0,0.0,0.0,11.196232,0.0,1014.4,0.0,0.75766623,0.0,10.905289,0.05436647,19.35,0.129,Sunny
2025-01-01 10:00:00+00:00,13.1,57.7176,0.0,0.0,0.0,9.984729,0.0,1015.1,1.0,0.6383255,5.0,10.416166,0.04429289,18.55,0.129,Sunny
2025-01-01 11:00:00+00:00,13.65,58.258232,0.0,0.0,0.0,9.339208,0.0,1015.8,1.0,0.6531282,119.0,11.199853,0.08019464,18.35,0.129,Sunny
2025-01-01 12:00:00+00:00,15.4,53.863926,0.0,0.0,0.0,7.193247,0.0,1016.1,1.0,0.8081588,328.0,13.373793,0.17989793,19.2,0.129,Sunny
2025-01-01 13:00:00+00:00,17.75,48.84771,0.0,0.0,0.0,5.369916,0.0,1016.6,1.0,1.0401815,547.0,16.162502,0.31229103,19.95,0.129,Sunny
2025-01-01 14:00:00+00:00,21.1,40.34719,0.0,0.0,0.0,6.114703,0.0,1016.2,1.0,1.4935641,750.0,20.704174,0.4680781,22.6,0.129,Sunny
2025-01-01 15:00:00+00:00,24.4,31.480207,0.0,0.0,0.0,6.522361,0.0,1015.7,1.0,2.0949893,916.0,24.792702,0.6164296,25.6,0.129,Sunny
2025-01-01 16:00:00+00:00,27.35,23.659084,0.0,0.0,0.0,6.989936,0.0,1015.2,1.0,2.7790005,1030.0,28.000301,0.734569,28.6,0.129,Sunny
2025-01-01 17:00:00+00:00,29.45,18.781702,0.0,0.0,0.0,8.037761,0.0,1014.8,1.0,3.339716,1082.0,29.895687,0.8041769,31.25,0.129,Sunny
2025-01-01 18:00:00+00:00,30.8,15.679948,0.0,0.0,0.0,8.604301,0.0,1014.4,1.0,3.7460866,1069.0,30.791283,0.81620574,33.4,0.129,Sunny
2025-01-01 19:00:00+00:00,31.4,14.359712,0.0,0.0,0.0,8.790563,0.0,1014.0,1.0,3.936835,993.0,30.777702,0.77024794,34.9,0.129,Sunny
2025-01-01 20:00:00+00:00,31.8,13.737299,0.0,0.0,0.0,7.748368,0.0,1013.1,1.0,4.056346,859.0,30.521996,0.6673858,35.7,0.129,Sunny
2025-01-01 21:00:00+00:00,31.9,14.159826,0.0,0.0,0.0,8.39657,0.0,1012.6,1.0,4.05932,677.0,29.503704,0.545428,35.75,0.129,Sunny
