date,temperature_2m,relative_humidity_2m,precipitation,rain,cloud_cover,wind_speed_10m,weather_code,pressure_msl,is_day,vapour_pressure_deficit,shortwave_radiation,apparent_temperature,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,weather_condition,VPD,water_balance,heat_stress_duration
2026-01-01 00:00:00+00:00,26.05,39.725353,0.0,0.0,0.0,5.7964473,0.0,1011.9,1.0,2.0322657,55.0,25.60109,0.074388355,33.55,0.117,Sunny,2.032025675026933,-0.074388355,0.0
2026-01-01 01:00:00+00:00,24.25,47.080723,0.0,0.0,0.0,6.8612823,0.0,1012.5,0.0,1.6031343,0.0,23.947567,0.05072097,31.3,0.117,Sunny,1.6028654888142042,-0.05072097,0.0
2026-01-01 02:00:00+00:00,22.45,54.412296,0.0,0.0,0.0,6.330782,0.0,1012.9,0.0,1.239036,0.0,22.407827,0.034973085,29.35,0.117,Sunny,1.238725088394134,-0.034973085,0.0
2026-01-01 03:00:00+00:00,21.4,57.069992,0.0,0.0,0.0,4.7521367,0.0,1013.1,0.0,1.0945227,0.0,21.505297,0.019481046,27.65,0.117,Sunny,1.0941515938158188,-0.019481046,0.0
2026-01-01 04:00:00+00:00,20.5,59.33434,0.0,0.0,0.0,4.5572357,0.0,1013.0,0.0,0.98109007,0.0,20.552021,0.015439594,26.2,0.117,Sunny,0.9806777312251911,-0.015439594,0.0
2026-01-01 05:00:00+00:00,19.55,62.310593,0.0,0.0,0.0,4.143911,0.0,1012.5,0.0,0.8574363,0.0,19.61401,0.009688278,24.9,0.117,Sunny,0.8570039300632919,-0.009688278,0.0
2026-01-01 06:00:00+00:00,18.0,70.93883,0.0,0.0,0.0,4.514377,0.0,1012.0,0.0,0.60016704,0.0,18.17477,0.004174987,22.9,0.117,Sunny,0.5997997705145828,-0.004174987,0.0
2026-01-01 07:00:00+00:00,16.95,75.79939,0.0,0.0,0.0,2.4482648,0.0,1011.7,0.0,0.46777582,0.0,17.426464,0.0,22.0,0.117,Sunny,0.4674431867464164,0.0,0.0
2026-01-01 08:00:00+00:00,16.0,79.47158,0.0,0.0,0.0,3.4388947,0.0,1011.3,0.0,0.37355864,0.0,16.266062,0.0,21.15,0.117,Sunny,0.37325330438924054,0.0,0.0
2026-01-01 09:00:00+00:00,15.65,80.209175,0.0,0.0,0.0,2.995797,0.0,1011.1,0.0,0.3521806,0.0,15.915302,0.0,20.4,0.117,Sunny,0.3518760077445673,0.0,0.0
2026-01-01 10:00:00+00:00,15.3,81.49132,0.0,0.0,0.0,1.0495713,0.0,1011.4,1.0,0.3220669,5.0,15.816763,0.0,19.75,0.117,Sunny,0.3217746914895008,0.0,0.0
2026-01-01 11:00:00+00:00,17.25,72.924255,0.0,0.0,0.0,1.5484185,0.0,1011.7,1.0,0.5333791,118.0,17.758526,0.05020493,20.0,0.117,Sunny,0.5330072070011003,-0.05020493,0.0
2026-01-01 12:00:00+00:00,19.4,63.936058,0.0,0.0,0.0,1.0495713,0.0,1012.6,1.0,0.8128418,323.0,19.996803,0.17604426,20.5,0.117,Sunny,0.8124330628226524,-0.17604426,0.0
2026-01-01 13:00:00+00:00,23.05,50.94299,0.0,0.0,0.0,2.3469129,0.0,1012.1,1.0,1.3826817,540.0,23.439285,0.3396557,23.1,0.117,Sunny,1.3823543793383084,-0.3396557,0.0
2026-01-01 14:00:00+00:00,25.95,42.26695,0.0,0.0,0.0,4.1085763,0.0,1012.0,1.0,1.9350203,741.0,27.247,0.505021,26.1,0.117,Sunny,1.9348697743153769,-0.505021,0.0
2026-01-01 15:00:00+00:00,28.8,34.9527,0.0,0.0,0.0,3.438895,0.0,1012.1,1.0,2.575439,905.0,31.167797,0.6461737,29.25,0.117,Sunny,2.5755367699926945,-0.6461737,0.0
2026-01-01 16:00:00+00:00,31.4,29.22357,0.0,0.0,0.0,3.0811036,0.0,1012.2,1.0,3.252349,1017.0,34.430157,0.7531416,32.45,0.117,Sunny,3.2527196921212114,-0.7531416,0.0
2026-01-01 17:00:00+00:00,33.25,25.977074,0.0,0.0,0.0,4.514377,0.0,1012.1,1.0,3.775257,1067.0,36.24428,0.81798273,35.25,0.117,Sunny,3.7758715843921014,-0.81798273,1.0
2026-01-01 18:00:00+00:00,33.25,26.674053,0.0,0.0,0.0,10.564941,0.0,1011.8,1.0,3.739633,1049.0,35.04017,0.8411086,37.3,0.117,Sunny,3.7403190421835153,-0.8411086,2.0
2026-01-01 19:00:00+00:00,32.85,28.102468,0.0,0.0,0.0,14.761098,0.0,1011.9,1.0,3.5854168,969.0,33.551075,0.80024886,38.1,0.117,Sunny,3.586116851036894,-0.80024886,3.0
